brand,text_count,vader_compound,vader_pos,vader_neu,vader_neg,claude_overall_sentiment,claude_positive_pct,claude_neutral_pct,claude_negative_pct,top_themes_json,purchase_channels,seasonality_mentions,unmet_needs
GT's Living Foods,133,0.1067,0.1587,0.7279,0.1134,,0,0,0,[],,,
Health-Ade,49,0.3284,0.1608,0.7991,0.0402,,0,0,0,[],,,
Brew Dr. Kombucha,101,0.2289,0.1557,0.8018,0.0425,,0,0,0,[],,,
Humm Kombucha,12,0.259,0.1772,0.8228,0.0,,0,0,0,[],,,
LIVE Soda Kombucha,194,0.31,0.1904,0.7543,0.0552,,0,0,0,[],,,
Rowdy Mermaid,321,0.3677,0.2549,0.6651,0.08,,0,0,0,[],,,
Revive Kombucha,264,0.1984,0.1459,0.7867,0.0674,,0,0,0,[],,,
Wild Tonic,256,0.2702,0.1811,0.7532,0.0657,,0,0,0,[],,,
Oatly,77,0.1991,0.1545,0.7572,0.0883,,0,0,0,[],,,
Califia Farms,106,0.3363,0.1765,0.7914,0.0321,,0,0,0,[],,,
Ripple Foods,221,0.2668,0.188,0.7472,0.0649,,0,0,0,[],,,
Elmhurst 1925,49,0.3875,0.2014,0.7679,0.0307,,0,0,0,[],,,
Malk Organics,74,0.2595,0.1568,0.8004,0.0428,,0,0,0,[],,,
Three Trees,244,0.1874,0.1642,0.7467,0.0891,,0,0,0,[],,,
Forager Project,219,0.3289,0.1826,0.7595,0.0579,,0,0,0,[],,,
Silk,236,0.393,0.2102,0.7396,0.0502,,0,0,0,[],,,
So Delicious,274,0.2939,0.1922,0.7409,0.0669,,0,0,0,[],,,
MUSH,335,0.2837,0.1817,0.7587,0.0596,,0,0,0,[],,,
New Barn Organics,292,0.3394,0.1832,0.7682,0.0485,,0,0,0,[],,,
Harmless Harvest,187,0.42,0.224,0.7386,0.0374,,0,0,0,[],,,
