brand,keyword,avg_interest,peak_date,momentum_pct
GT's Living Foods,GT's Living Foods,1.12,2025-09-07,0.0
Health-Ade,Health-Ade,0.25,2026-03-01,0.0
Brew Dr. Kombucha,Brew Dr. Kombucha,0.0,2024-12-29,0.0
Humm Kombucha,Humm Kombucha,15.22,2025-08-31,0.0
LIVE Soda Kombucha,LIVE Soda Kombucha,0.0,2024-12-29,0.0
Rowdy Mermaid,Rowdy Mermaid,0.0,2024-12-29,0.0
Revive Kombucha,Revive Kombucha,0.28,2025-06-22,0.0
Wild Tonic,Wild Tonic,0.59,2025-11-30,-85.71
Oatly,Oatly,64.84,2025-02-02,19.15
Califia Farms,Califia Farms,22.91,2025-07-06,18.22
Ripple Foods,Ripple Foods,0.05,2026-03-08,0.0
Elmhurst 1925,Elmhurst 1925,0.02,2026-03-01,0.0
Malk Organics,Malk Organics,0.02,2026-03-08,0.0
Three Trees,Three Trees,58.78,2025-04-27,-9.02
Forager Project,Forager Project,0.14,2026-03-08,0.0
