brand,video_count,total_views,total_comments,comment_texts_collected,engagement_score
GT's Living Foods,18,31193582,6283,120,100
Health-Ade,17,17648,30,12,60.67
Brew Dr. Kombucha,16,7338069,2645,96,98.08
Humm Kombucha,12,2576,18,0,48.73
LIVE Soda Kombucha,16,40163173,12350,193,100
Rowdy Mermaid,20,122262892,22154,371,100
Revive Kombucha,16,13381504,8018,259,100
Wild Tonic,18,129161762,29874,262,100
Oatly,19,1961749,360,66,89.89
Califia Farms,18,4054455,1251,91,94.4
Ripple Foods,19,111649938,7307,241,100
Elmhurst 1925,12,1097561,4515,40,86.29
Malk Organics,17,910741,512,64,85.13
Three Trees,20,296215530,51448,240,100
Forager Project,16,43954978,10522,223,100
Silk,20,129877500,16308,251,100
So Delicious,20,177890491,13827,272,100
MUSH,35,55334636,12431,327,100
New Barn Organics,18,29559906,7107,320,100
Harmless Harvest,16,16368499,6745,209,100
