brand,video_id,video_title,channel,published_at,view_count,comment_count,text,flagged_signals,type
GT's Living Foods,IqQXmZWBPRY,GT’S Synergy Kombucha “Elderberry Juniper” 16 ounce/473 ml glass bottle at Whole Foods Market!,Solid the mystic,2025-08-28T15:47:53Z,22,0,GT’S Synergy Kombucha “Elderberry Juniper” 16 ounce/473 ml glass bottle at Whole Foods Market!,,video_title
GT's Living Foods,7ev8aXnofqg,GT&#39;S 30th Anniversay Synergy Kombucha : Wildflower Review!,Doubleg392,2025-07-13T17:20:47Z,93,0,GT&#39;S 30th Anniversay Synergy Kombucha : Wildflower Review!,,video_title
GT's Living Foods,3EulUNsG5Lo,"My Honest Review: 🔥GT&#39;s Organic Raw Kombucha Gingerade, 16 Oz, Pack of 6",Joe Capone,2025-01-20T01:45:00Z,26,1,"My Honest Review: 🔥GT&#39;s Organic Raw Kombucha Gingerade, 16 Oz, Pack of 6",,video_title
GT's Living Foods,piikqkajLQs,✨SURPRISE PACKAGE from Synergy Kombucha! #NewFlavor,WeBeTravelin,2025-10-01T05:09:14Z,268,0,✨SURPRISE PACKAGE from Synergy Kombucha! #NewFlavor,,video_title
GT's Living Foods,V5h0VGAJG_g,Fancy Sip Reviews - GT&#39;s Synergy (Pure Love),OJWonderbread,2025-02-14T05:00:06Z,206,1,Fancy Sip Reviews - GT&#39;s Synergy (Pure Love),,video_title
GT's Living Foods,2CirUtx4CwQ,Kombucha Time | Episode 2 | Synergy | Kombucha Review,Matt & Shan,2025-01-13T13:00:04Z,52,2,Kombucha Time | Episode 2 | Synergy | Kombucha Review,,video_title
GT's Living Foods,Jv-kgCbu2m4,Fancy Sip Review - GT&#39;s Alive (Ginger Turmeric),OJWonderbread,2025-04-02T05:32:37Z,298,0,Fancy Sip Review - GT&#39;s Alive (Ginger Turmeric),,video_title
GT's Living Foods,hZ4OH58ihRY,The Mystery of Jennifer: The Food Blogger Who Doesn’t Taste Her Food,StarTalk USA,2025-02-01T22:00:20Z,5259013,550,Looks like she devoured her ice cream 🍦 😂😂😂😂,,comment
GT's Living Foods,hZ4OH58ihRY,The Mystery of Jennifer: The Food Blogger Who Doesn’t Taste Her Food,StarTalk USA,2025-02-01T22:00:20Z,5259013,550,"Bro, nobody realized that she has jaw cancer",,comment
GT's Living Foods,hZ4OH58ihRY,The Mystery of Jennifer: The Food Blogger Who Doesn’t Taste Her Food,StarTalk USA,2025-02-01T22:00:20Z,5259013,550,dont you understand she has jaw cancer,,comment
GT's Living Foods,hZ4OH58ihRY,The Mystery of Jennifer: The Food Blogger Who Doesn’t Taste Her Food,StarTalk USA,2025-02-01T22:00:20Z,5259013,550,the real reason she toke fake bites is because she has jaw cancer,,comment
GT's Living Foods,hZ4OH58ihRY,The Mystery of Jennifer: The Food Blogger Who Doesn’t Taste Her Food,StarTalk USA,2025-02-01T22:00:20Z,5259013,550,If you don’t understand why she’s not eating the food it’s because she has jaw cancer and she’s not eating because she can only eat soft and save food and she can’t eat hard things that’s why she can’t eat,,comment
GT's Living Foods,hZ4OH58ihRY,The Mystery of Jennifer: The Food Blogger Who Doesn’t Taste Her Food,StarTalk USA,2025-02-01T22:00:20Z,5259013,550,"She only eats a bit of food because she has jaw cancer
😢",,comment
